,zipcode,covid_cases,D1. AGE.Total population,D1. AGE.Under 5 years,D1. AGE.5 to 9 years,D1. AGE.10 to 14 years,D1. AGE.15 to 19 years,D1. AGE.20 to 24 years,D1. AGE.25 to 34 years,D1. AGE.35 to 44 years,D1. AGE.45 to 54 years,D1. AGE.55 to 59 years,D1. AGE.60 to 64 years,D1. AGE.65 to 74 years,D1. AGE.75 to 84 years,D1. AGE.85 years and over,D1. AGE.Median age in years,D1. AGE.5 years and over,D1. AGE.15 years and over,D1. AGE.Under 18 years of age,D1. AGE.18 years and over,D1. AGE.21 years and over,D1. AGE.25 years and over,D1. AGE.62 years and over,D1. AGE.65 years and over,D2. AGE AND SEX.Total population,D2. AGE AND SEX.Male,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D2. AGE AND SEX.Female,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D3. RACE.Total population,D3. RACE.One race,D3. RACE.White alone,D3. RACE.Black or African American,D3. RACE.American Indian and Alaska Native,D3. RACE.Asian,D3. RACE.Native Hawaiian and Other Pacific Islander,D3. RACE.Some other race,D3. RACE.Two or more races,D3. RACE.White (alone or in combination),D3. RACE.Black (alone or in combination),D3. RACE.American Indian (alone or in combination),D3. RACE.Asian (alone or in combination),D3. RACE.Native Hawaiian (alone or in combination),D3. RACE.Some other race (alone or in combination),D4. HISPANIC OR LATINO (ANY RACE).Total population,D4. HISPANIC OR LATINO (ANY RACE).Hispanic or Latino of any race,D4. HISPANIC OR LATINO (ANY RACE).Not Hispanic or Latino,D4. HISPANIC OR LATINO (ANY RACE).White alone,D4. HISPANIC OR LATINO (ANY RACE).Black or African American alone,D4. HISPANIC OR LATINO (ANY RACE).American Indian and Alaska Native alone,D4. HISPANIC OR LATINO (ANY RACE).Asian alone,D4. HISPANIC OR LATINO (ANY RACE).Native Hawaiian and Other Pacific Islander alone
0,10039,508,,7.9,6.2,7.3,5.9,7.5,17.4,13.7,12.8,6.8,5.1,5.0,2.8,1.6,,,78.6,24.9,75.1,71.9,65.2,12.3,9.4,,42.6,75.7,4.8,57.4,74.6,12.7,,95.0,13.1,61.9,0.6,1.6,,17.8,5.0,15.7,66.4,2.6,2.0,0.1,18.5,,33.8,66.2,6.8,55.1,0.3,1.6,
0,10040,1091,,5.0,4.8,4.8,4.9,7.5,19.8,13.7,12.1,5.5,5.5,8.1,4.5,4.0,,,85.4,17.4,82.6,79.4,73.0,20.0,16.5,,46.6,80.1,12.8,53.4,84.7,19.7,,92.9,36.1,9.8,1.2,3.0,,42.7,7.1,41.9,14.3,3.0,3.7,,45.3,,69.5,30.5,21.0,4.9,,2.8,
0,10044,232,,4.8,3.0,2.6,2.4,6.0,21.8,13.5,14.6,6.0,6.3,9.2,6.2,3.7,,,89.7,12.4,87.6,87.3,81.3,23.2,19.2,,47.1,86.4,21.0,52.9,88.7,17.5,,95.9,45.5,12.2,,33.9,,4.3,4.1,49.2,13.2,0.4,36.1,0.4,5.0,,13.3,86.7,38.1,11.1,,33.9,
0,10065,326,,5.9,3.6,3.3,1.3,6.4,20.8,14.8,12.0,5.2,5.4,10.2,7.5,3.8,,,87.3,13.5,86.5,85.5,79.7,24.2,21.5,,43.6,80.7,18.0,56.4,90.9,24.2,,98.8,86.4,2.2,0.1,9.5,,0.5,1.2,87.6,2.4,0.3,10.5,,0.6,,6.6,93.4,80.7,2.0,0.1,9.4,
0,10069,54,,7.2,8.2,5.4,1.9,4.6,20.1,22.6,14.8,4.6,3.9,2.9,2.1,1.7,,,79.2,22.5,77.5,77.3,72.7,8.4,6.8,,46.3,72.8,8.7,53.7,81.7,5.2,,95.6,62.0,2.9,,30.6,,,4.4,65.5,3.9,0.7,33.3,,1.0,,1.1,98.9,61.4,2.9,,30.1,
0,10075,418,,4.8,5.8,3.4,3.5,3.6,15.9,12.9,12.5,5.2,5.2,13.2,8.1,5.8,,,85.9,16.2,83.8,82.3,78.8,29.8,27.0,,46.8,81.0,21.9,53.2,86.3,31.6,,98.6,85.3,3.1,1.0,4.9,,4.2,1.4,86.7,3.4,1.3,5.7,0.1,4.2,,14.2,85.8,75.9,3.1,0.4,4.9,
0,10128,626,,5.4,3.6,3.2,2.9,4.5,23.7,13.8,13.4,5.0,5.9,10.3,6.0,2.3,,,87.8,14.4,85.6,84.7,80.4,21.9,18.6,,42.8,85.0,17.5,57.2,86.0,19.3,,96.0,79.6,3.7,,9.9,,2.8,4.0,82.9,4.7,0.3,12.4,,3.8,,12.3,87.7,71.1,3.0,,9.8,
0,10280,50,,7.6,6.7,4.8,2.0,2.5,20.2,21.0,16.3,5.6,4.0,6.6,2.1,0.4,,,80.9,20.7,79.3,78.6,76.3,11.2,9.1,,47.7,75.9,7.4,52.3,82.4,10.8,,96.9,78.4,2.0,,15.7,,0.8,3.1,81.1,3.5,,16.6,0.4,1.6,,8.8,91.2,70.5,1.7,,15.7,
0,10282,70,,16.7,7.1,5.2,2.1,0.8,17.5,27.9,12.4,2.2,2.4,3.4,,2.5,,,71.0,31.1,68.9,68.9,68.1,6.8,5.9,,48.4,65.9,2.1,51.6,71.7,9.4,,96.4,74.3,1.1,,20.8,,0.2,3.6,77.9,1.1,,24.4,,0.2,,7.6,92.4,67.0,0.8,,20.8,
0,10301,1166,,6.3,5.5,6.2,6.9,8.1,12.9,12.6,13.2,6.7,6.7,8.6,4.3,1.9,,,81.9,22.0,78.0,73.5,66.9,19.1,14.9,,47.6,75.2,13.9,52.4,80.6,15.8,,93.8,57.5,25.0,0.1,6.1,,5.2,6.2,62.8,30.1,0.7,6.7,0.2,5.9,,24.8,75.2,42.5,21.2,0.1,6.0,
