,zipcode,D1. AGE.Total population,D1. AGE.Under 5 years,D1. AGE.5 to 9 years,D1. AGE.10 to 14 years,D1. AGE.15 to 19 years,D1. AGE.20 to 24 years,D1. AGE.25 to 34 years,D1. AGE.35 to 44 years,D1. AGE.45 to 54 years,D1. AGE.55 to 59 years,D1. AGE.60 to 64 years,D1. AGE.65 to 74 years,D1. AGE.75 to 84 years,D1. AGE.85 years and over,D1. AGE.Median age in years,D1. AGE.5 years and over,D1. AGE.15 years and over,D1. AGE.Under 18 years of age,D1. AGE.18 years and over,D1. AGE.21 years and over,D1. AGE.25 years and over,D1. AGE.62 years and over,D1. AGE.65 years and over,D2. AGE AND SEX.Total population,D2. AGE AND SEX.Male,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D2. AGE AND SEX.Female,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D3. RACE.Total population,D3. RACE.One race,D3. RACE.White alone,D3. RACE.Black or African American,D3. RACE.American Indian and Alaska Native,D3. RACE.Asian,D3. RACE.Native Hawaiian and Other Pacific Islander,D3. RACE.Some other race,D3. RACE.Two or more races,D3. RACE.White (alone or in combination),D3. RACE.Black (alone or in combination),D3. RACE.American Indian (alone or in combination),D3. RACE.Asian (alone or in combination),D3. RACE.Native Hawaiian (alone or in combination),D3. RACE.Some other race (alone or in combination),D4. HISPANIC OR LATINO (ANY RACE).Total population,D4. HISPANIC OR LATINO (ANY RACE).Hispanic or Latino of any race,D4. HISPANIC OR LATINO (ANY RACE).Not Hispanic or Latino,D4. HISPANIC OR LATINO (ANY RACE).White alone,D4. HISPANIC OR LATINO (ANY RACE).Black or African American alone,D4. HISPANIC OR LATINO (ANY RACE).American Indian and Alaska Native alone,D4. HISPANIC OR LATINO (ANY RACE).Asian alone,D4. HISPANIC OR LATINO (ANY RACE).Native Hawaiian and Other Pacific Islander alone
0,60050,"32,732","1,600","1,972","2,397","2,180","2,309","4,013","4,271","4,639","2,488","1,896","2,841","1,219",907,39.6,-,"26,763","7,329","25,403","24,249","22,274","5,983","4,967","32,732","16,272","12,483","2,086","16,460","12,920","2,881","32,732","32,320","30,989",213,96,443,-,579,412,"31,357",365,156,589,-,677,"32,732","4,650","28,082","27,045",162,77,443,-
0,60051,"23,298","1,312","1,355","1,275","1,924","1,249","2,561","3,166","3,818","2,002","1,627","1,894",791,324,41.1,-,"19,356","5,092","18,206","17,215","16,183","3,826","3,009","23,298","11,641","8,977","1,517","11,657","9,229","1,492","23,298","22,871","21,934",190,12,327,-,408,427,"22,333",319,44,543,7,545,"23,298","2,285","21,013","20,211",190,-,299,-
0,60053,"23,256",979,"1,304","1,233","1,154","1,095","2,283","2,830","3,161","1,807","1,758","2,980","1,762",910,47.4,-,"19,740","4,320","18,936","18,418","17,491","6,798","5,652","23,256","11,532","9,174","2,509","11,724","9,762","3,143","23,256","22,838","14,519",695,-,"7,183",-,441,418,"14,791",713,16,"7,566",17,571,"23,256","1,452","21,804","13,563",675,-,"7,068",-
0,60056,"55,250","4,548","3,749","2,928","3,050","2,423","6,918","8,170","7,729","3,488","2,940","4,934","3,006","1,367",39.6,-,"44,025","13,271","41,979","40,619","38,552","10,925","9,307","55,250","27,755","20,618","4,362","27,495","21,361","4,945","55,250","53,906","41,830","1,551",269,"6,769",14,"3,473","1,344","43,000","1,780",655,"7,432",49,"3,865","55,250","9,331","45,919","36,557","1,421",145,"6,769",-
0,60060,"37,208","2,570","2,158","2,224","2,638","2,091","5,776","4,896","4,995","2,600","2,596","2,901","1,324",439,37.2,-,"30,256","8,544","28,664","27,224","25,527","6,313","4,664","37,208","18,979","14,428","2,131","18,229","14,236","2,533","37,208","36,200","29,267",629,104,"3,804",35,"2,361","1,008","30,081",737,159,"4,444",48,"2,756","37,208","11,902","25,306","20,015",623,92,"3,758",35
0,60061,"27,004","1,645","1,883","2,187","1,981","1,134","3,276","3,986","4,153","1,740","1,469","2,141",802,607,39.0,-,"21,289","7,095","19,909","19,173","18,174","4,370","3,550","27,004","13,315","9,434","1,513","13,689","10,475","2,037","27,004","26,087","18,152",862,43,"6,201",4,825,917,"19,016","1,185",176,"6,667",48,917,"27,004","3,280","23,724","15,946",838,43,"6,168",4
0,60062,"40,459","2,098","2,461","2,498","2,184","1,161","2,832","4,415","5,961","3,041","2,851","4,625","4,109","2,223",49.6,-,"33,402","8,757","31,702","31,060","30,057","12,437","10,957","40,459","19,008","14,873","4,799","21,451","16,829","6,158","40,459","39,882","32,917",804,29,"5,901",-,231,577,"33,430",850,107,"6,314",40,295,"40,459","1,265","39,194","31,973",782,29,"5,901",-
0,60064,"15,705","1,128","1,096","1,192","1,189","1,695","2,255","1,794","2,168",933,600,"1,003",483,169,30.7,-,"12,289","4,180","11,525","10,879","9,405","2,026","1,655","15,705","7,782","5,719",727,"7,923","5,806",928,"15,705","14,820","5,810","5,648",15,334,7,"3,006",885,"6,595","6,166",67,686,12,"3,192","15,705","7,761","7,944","1,383","5,595",9,334,7
0,60067,"38,177","2,023","2,089","2,396","2,548","1,176","4,676","4,434","6,646","2,976","2,769","3,559","2,090",795,44.4,-,"31,669","8,306","29,871","28,957","27,945","7,898","6,444","38,177","18,153","14,363","2,840","20,024","15,508","3,604","38,177","36,925","29,417",668,29,"5,649",-,"1,162","1,252","30,560",926,268,"6,339",66,"1,564","38,177","2,882","35,295","28,162",638,-,"5,635",-
0,60068,"37,736","2,361","2,487","2,880","2,408","1,584","2,959","4,617","5,861","2,800","2,568","3,652","2,332","1,227",44.3,-,"30,008","9,507","28,229","27,222","26,016","8,751","7,211","37,736","18,368","13,361","3,131","19,368","14,868","4,080","37,736","36,929","34,692",161,-,"1,666",101,309,807,"35,465",298,-,"2,258",101,421,"37,736","2,283","35,453","32,740",144,-,"1,666",101
0,60069,"8,186",177,337,551,560,386,452,733,"1,067",678,512,952,863,918,53.3,-,"7,121","1,466","6,720","6,504","6,175","3,022","2,733","8,186","3,900","3,074","1,118","4,286","3,646","1,615","8,186","8,038","7,085",95,4,840,-,14,148,"7,216",95,5,978,-,40,"8,186",237,"7,949","6,872",95,4,840,-
0,60070,"16,049","1,212","1,021","1,127",986,514,"2,538","1,811","1,904","1,178","1,094","1,449",755,460,38.6,-,"12,689","3,906","12,143","11,608","11,189","3,297","2,664","16,049","8,298","5,998","1,118","7,751","6,145","1,546","16,049","15,882","11,052",336,-,"1,365",-,"3,129",167,"11,175",336,-,"1,452",17,"3,236","16,049","5,156","10,893","9,132",336,-,"1,365",-
0,60071,"3,581",135,230,288,244,309,289,488,547,257,292,304,156,42,41.7,-,"2,928",836,"2,745","2,590","2,375",667,502,"3,581","1,747","1,306",252,"1,834","1,439",250,"3,581","3,453","3,276",52,34,72,6,13,128,"3,404",85,137,80,6,13,"3,581",313,"3,268","2,986",52,34,72,-
0,60073,"61,706","5,166","5,008","4,610","5,152","4,525","8,363","9,340","8,688","3,001","2,706","3,249","1,407",491,33.2,-,"46,922","18,192","43,514","40,756","37,245","6,548","5,147","61,706","31,573","22,209","2,354","30,133","21,305","2,793","61,706","59,990","48,268","3,883",310,"3,303",19,"4,207","1,716","49,654","4,575",538,"3,925",169,"4,700","61,706","25,342","36,364","28,219","3,811",83,"3,150",-
0,60074,"39,478","2,741","3,078","2,752","2,019","2,076","7,071","5,861","5,009","2,131","2,212","2,478","1,734",316,35.0,-,"30,907","10,030","29,448","28,632","26,812","5,854","4,528","39,478","20,116","14,898","2,028","19,362","14,550","2,500","39,478","37,822","24,299","1,063",141,"3,531",-,"8,788","1,656","25,520","1,492",346,"4,229",26,"9,533","39,478","12,601","26,877","21,477",954,-,"3,531",-
0,60076,"31,867","1,434","1,816","2,105","1,927","1,813","2,728","4,050","4,228","2,574","2,549","3,803","1,835","1,005",45.1,-,"26,512","6,665","25,202","24,231","22,772","8,163","6,643","31,867","15,177","11,893","2,884","16,690","13,309","3,759","31,867","30,115","17,957","2,832",15,"8,887",71,353,"1,752","19,174","3,296",396,"9,906",173,908,"31,867","3,100","28,767","15,570","2,798",5,"8,841",61
0,60077,"28,329","1,827","1,548","1,692","1,625","1,166","3,708","3,659","3,689","2,048","2,000","3,135","1,495",737,41.3,-,"23,262","6,168","22,161","21,466","20,471","6,486","5,367","28,329","13,285","10,259","2,360","15,044","11,902","3,007","28,329","26,901","16,343","1,799",76,"8,048",8,627,"1,428","17,389","2,406",95,"9,151",145,942,"28,329","3,769","24,560","13,487","1,799",-,"8,048",-
0,60081,"9,660",603,491,651,648,520,855,"1,215","1,770",754,771,"1,066",208,108,44.4,-,"7,915","2,125","7,535","7,113","6,747","1,816","1,382","9,660","4,988","3,918",689,"4,672","3,617",693,"9,660","9,526","9,402",-,-,79,-,45,134,"9,536",56,54,103,-,45,"9,660",387,"9,273","9,048",-,-,61,-
0,60083,"9,990",685,557,817,741,809,772,"1,375","1,515",707,661,906,322,123,39.0,-,"7,931","2,577","7,413","7,049","6,381","1,765","1,351","9,990","5,004","3,804",617,"4,986","3,609",734,"9,990","9,666","7,254","1,547",-,653,-,212,324,"7,578","1,830",-,694,-,212,"9,990","1,280","8,710","6,186","1,547",-,653,-
0,60084,"16,612","1,053",978,"1,213","1,073",961,"2,012","2,196","2,485","1,474",987,"1,514",515,151,38.7,-,"13,368","3,848","12,764","12,140","11,334","2,732","2,180","16,612","8,157","6,226","1,029","8,455","6,538","1,151","16,612","16,279","14,246",136,6,858,-,"1,033",333,"14,554",141,88,994,-,"1,168","16,612","3,365","13,247","12,113",94,-,842,-
0,60085,"70,850","5,872","6,128","5,715","5,455","6,265","10,773","10,166","7,888","3,630","3,185","3,840","1,388",545,30.3,-,"53,135","20,967","49,883","46,679","41,415","7,498","5,773","70,850","35,807","25,088","2,595","35,043","24,795","3,178","70,850","68,594","37,414","12,356",495,"4,022",56,"14,251","2,256","39,150","13,455","1,049","4,464",76,"14,988","70,850","43,651","27,199","9,523","12,087",108,"3,922",37
0,60087,"26,678","1,286","1,725","2,430","1,864","2,527","3,450","3,311","3,778","1,595","1,535","1,744","1,015",418,35.4,-,"21,237","6,610","20,068","18,969","16,846","4,024","3,177","26,678","13,117","9,792","1,357","13,561","10,276","1,820","26,678","25,412","16,691","3,743",45,762,-,"4,171","1,266","17,731","4,483",419,856,10,"4,539","26,678","11,510","15,168","9,839","3,724",13,762,-
