,zipcode,covid_cases,D1. AGE.Total population,D1. AGE.Under 5 years,D1. AGE.5 to 9 years,D1. AGE.10 to 14 years,D1. AGE.15 to 19 years,D1. AGE.20 to 24 years,D1. AGE.25 to 34 years,D1. AGE.35 to 44 years,D1. AGE.45 to 54 years,D1. AGE.55 to 59 years,D1. AGE.60 to 64 years,D1. AGE.65 to 74 years,D1. AGE.75 to 84 years,D1. AGE.85 years and over,D1. AGE.Median age in years,D1. AGE.5 years and over,D1. AGE.15 years and over,D1. AGE.Under 18 years of age,D1. AGE.18 years and over,D1. AGE.21 years and over,D1. AGE.25 years and over,D1. AGE.62 years and over,D1. AGE.65 years and over,D2. AGE AND SEX.Total population,D2. AGE AND SEX.Male,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D2. AGE AND SEX.Female,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D3. RACE.Total population,D3. RACE.One race,D3. RACE.White alone,D3. RACE.Black or African American,D3. RACE.American Indian and Alaska Native,D3. RACE.Asian,D3. RACE.Native Hawaiian and Other Pacific Islander,D3. RACE.Some other race,D3. RACE.Two or more races,D3. RACE.White (alone or in combination),D3. RACE.Black (alone or in combination),D3. RACE.American Indian (alone or in combination),D3. RACE.Asian (alone or in combination),D3. RACE.Native Hawaiian (alone or in combination),D3. RACE.Some other race (alone or in combination),D4. HISPANIC OR LATINO (ANY RACE).Total population,D4. HISPANIC OR LATINO (ANY RACE).Hispanic or Latino of any race,D4. HISPANIC OR LATINO (ANY RACE).Not Hispanic or Latino,D4. HISPANIC OR LATINO (ANY RACE).White alone,D4. HISPANIC OR LATINO (ANY RACE).Black or African American alone,D4. HISPANIC OR LATINO (ANY RACE).American Indian and Alaska Native alone,D4. HISPANIC OR LATINO (ANY RACE).Asian alone,D4. HISPANIC OR LATINO (ANY RACE).Native Hawaiian and Other Pacific Islander alone
0,77034,78,"40,532","3,934","3,401","3,216","3,998","3,754","5,829","6,246","4,531","1,794","1,341","1,584",691,213,28.2,-,"29,981","12,765","27,767","24,994","22,229","3,405","2,488","40,532","19,570","13,299","1,062","20,962","14,468","1,426","40,532","39,801","31,872","3,505",182,"2,061",-,"2,181",731,"32,445","3,782",347,"2,199",-,"2,554","40,532","29,743","10,789","5,031","3,402",22,"2,061",-
0,77035,134,"38,524","3,186","3,228","2,676","2,268","2,118","6,636","5,103","5,087","2,252","2,317","1,977","1,167",509,33.5,-,"29,434","10,650","27,874","26,860","25,048","4,885","3,653","38,524","19,081","13,501","1,602","19,443","14,373","2,051","38,524","37,604","18,489","10,604",18,"2,444",15,"6,034",920,"18,982","10,946",360,"2,954",50,"6,169","38,524","15,387","23,137","9,340","10,496",11,"2,444",-
0,77036,409,"76,831","7,030","5,999","5,583","5,059","6,201","15,310","12,034","8,530","3,097","2,642","2,708","1,680",958,30.3,-,"58,219","21,898","54,933","52,142","46,959","6,780","5,346","76,831","40,384","29,428","2,160","36,447","25,505","3,186","76,831","76,190","33,350","11,434",175,"11,555",82,"19,594",641,"33,828","11,644",388,"11,817",162,"19,651","76,831","47,983","28,848","6,147","10,266",124,"11,513",61
0,77037,57,"20,463","1,633","1,526","1,974","1,715","1,336","2,630","3,574","2,783","1,199",521,"1,071",426,75,33.5,-,"15,330","6,110","14,353","13,317","12,279","1,742","1,572","20,463","10,743","7,356",665,"9,720","6,997",907,"20,463","20,334","19,086",280,33,36,-,899,129,"19,213",280,104,38,2,955,"20,463","19,050","1,413","1,056",280,33,36,-
0,77038,61,"31,365","2,808","2,886","3,272","2,692","1,928","5,192","4,756","3,472","1,123","1,189","1,441",494,112,29.0,-,"22,399","10,664","20,701","19,302","17,779","2,666","2,047","31,365","15,826","10,276","1,028","15,539","10,425","1,019","31,365","31,088","21,396","5,440",208,"2,328",-,"1,716",277,"21,565","5,584",268,"2,375",-,"1,850","31,365","22,073","9,292","1,578","5,224",63,"2,291",-
0,77039,73,"28,385","2,358","2,679","2,328","2,923","2,482","4,061","3,656","3,656","1,101",870,"1,399",783,89,28.1,-,"21,020","9,246","19,139","17,636","15,615","2,834","2,271","28,385","14,514","9,619","1,073","13,871","9,520","1,198","28,385","28,286","24,550","2,187",393,179,-,977,99,"24,649","2,239",433,186,-,977,"28,385","24,264","4,121","1,450","2,161",279,179,-
0,77040,114,"48,290","3,018","3,163","3,370","3,127","3,288","8,347","6,771","6,480","2,958","3,167","3,205","1,092",304,34.8,-,"38,739","11,339","36,951","34,947","32,324","6,300","4,601","48,290","24,239","18,272","2,054","24,051","18,679","2,547","48,290","47,423","32,266","6,571",155,"3,521",99,"4,811",867,"32,976","6,845",258,"3,846",133,"5,099","48,290","24,841","23,449","13,154","6,275",8,"3,509",83
0,77041,96,"34,885","1,724","2,546","2,405","2,794","2,278","5,157","4,697","5,054","2,487","2,276","2,395",845,227,36.2,-,"28,210","8,536","26,349","25,131","23,138","4,729","3,467","34,885","18,022","13,386","1,847","16,863","12,963","1,620","34,885","34,109","21,938","3,041",96,"4,690",28,"4,316",776,"22,563","3,333",289,"5,021",28,"4,535","34,885","15,924","18,961","10,515","2,973",78,"4,671",28
0,77042,108,"42,515","3,499","2,562","2,296","2,717","3,130","10,422","5,699","4,770","2,287","1,781","2,193",860,299,31.5,-,"34,158","10,074","32,441","30,721","28,311","4,349","3,352","42,515","19,631","15,547","1,509","22,884","16,894","1,843","42,515","41,545","22,350","13,461",25,"3,499",43,"2,167",970,"23,181","13,867",347,"3,896",82,"2,274","42,515","10,942","31,573","13,943","13,184",10,"3,479",43
0,77043,83,"25,447","1,822","1,446","1,703","1,431","1,515","4,471","3,528","3,201","1,832","1,585","1,360","1,239",314,35.8,-,"20,476","5,825","19,622","18,741","17,530","3,879","2,913","25,447","12,640","9,607","1,325","12,807","10,015","1,588","25,447","24,958","19,914","1,039",11,"2,360",-,"1,634",489,"20,403","1,205",111,"2,380",50,"1,804","25,447","11,505","13,942","10,352",972,-,"2,360",-
