,zipcode,covid_cases,D1. AGE.Total population,D1. AGE.Under 5 years,D1. AGE.5 to 9 years,D1. AGE.10 to 14 years,D1. AGE.15 to 19 years,D1. AGE.20 to 24 years,D1. AGE.25 to 34 years,D1. AGE.35 to 44 years,D1. AGE.45 to 54 years,D1. AGE.55 to 59 years,D1. AGE.60 to 64 years,D1. AGE.65 to 74 years,D1. AGE.75 to 84 years,D1. AGE.85 years and over,D1. AGE.Median age in years,D1. AGE.5 years and over,D1. AGE.15 years and over,D1. AGE.Under 18 years of age,D1. AGE.18 years and over,D1. AGE.21 years and over,D1. AGE.25 years and over,D1. AGE.62 years and over,D1. AGE.65 years and over,D2. AGE AND SEX.Total population,D2. AGE AND SEX.Male,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D2. AGE AND SEX.Female,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D3. RACE.Total population,D3. RACE.One race,D3. RACE.White alone,D3. RACE.Black or African American,D3. RACE.American Indian and Alaska Native,D3. RACE.Asian,D3. RACE.Native Hawaiian and Other Pacific Islander,D3. RACE.Some other race,D3. RACE.Two or more races,D3. RACE.White (alone or in combination),D3. RACE.Black (alone or in combination),D3. RACE.American Indian (alone or in combination),D3. RACE.Asian (alone or in combination),D3. RACE.Native Hawaiian (alone or in combination),D3. RACE.Some other race (alone or in combination),D4. HISPANIC OR LATINO (ANY RACE).Total population,D4. HISPANIC OR LATINO (ANY RACE).Hispanic or Latino of any race,D4. HISPANIC OR LATINO (ANY RACE).Not Hispanic or Latino,D4. HISPANIC OR LATINO (ANY RACE).White alone,D4. HISPANIC OR LATINO (ANY RACE).Black or African American alone,D4. HISPANIC OR LATINO (ANY RACE).American Indian and Alaska Native alone,D4. HISPANIC OR LATINO (ANY RACE).Asian alone,D4. HISPANIC OR LATINO (ANY RACE).Native Hawaiian and Other Pacific Islander alone
0,77043,83,,7.2,5.7,6.7,5.6,6.0,17.6,13.9,12.6,7.2,6.2,5.3,4.9,1.2,,,80.5,22.9,77.1,73.6,68.9,15.2,11.4,,49.7,76.0,10.5,50.3,78.2,12.4,,98.1,78.3,4.1,,9.3,,6.4,1.9,80.2,4.7,0.4,9.4,0.2,7.1,,45.2,54.8,40.7,3.8,,9.3,
0,77044,138,,10.3,10.5,8.5,5.6,5.5,17.8,15.4,11.9,5.2,4.4,3.4,1.3,0.2,,,70.7,32.6,67.4,64.1,59.6,7.8,5.0,,48.8,66.4,4.6,51.2,68.4,5.4,,98.5,64.4,28.1,0.8,1.8,0.2,3.1,1.5,65.9,28.9,1.2,2.1,0.3,3.4,,44.8,55.2,24.7,27.7,0.1,1.8,0.2
0,77045,168,,6.9,8.3,8.4,8.0,9.4,14.3,12.2,11.5,4.9,4.3,8.3,2.8,0.6,,,76.3,28.7,71.3,66.8,58.9,14.0,11.7,,47.2,70.3,10.3,52.8,72.2,12.8,,98.2,47.2,45.5,0.1,0.7,,4.7,1.8,48.5,46.3,0.8,0.7,,5.5,,50.9,49.1,2.7,45.2,0.1,0.7,
0,77046,3,,0.9,,,,4.9,26.3,14.6,11.4,11.0,8.8,4.3,6.8,10.8,,,99.1,0.9,99.1,99.1,94.1,26.8,22.0,,33.6,100.0,16.9,66.4,98.6,24.5,,97.0,78.7,1.5,,12.6,,4.2,3.0,81.6,3.0,,14.1,,4.2,,8.1,91.9,76.2,1.5,,12.6,
0,77047,123,,6.8,9.3,7.6,5.5,7.2,20.6,13.7,11.8,4.9,4.0,5.0,3.1,0.5,,,76.3,27.5,72.5,69.0,63.6,10.3,8.6,,46.9,72.5,7.9,53.1,72.5,9.2,,99.1,27.8,65.4,0.3,2.4,,3.2,0.9,28.4,66.0,0.4,2.7,,3.4,,26.0,74.0,6.9,63.5,0.2,2.4,
0,77048,81,,9.7,6.0,8.4,8.0,4.8,13.1,13.7,11.9,6.1,4.1,8.0,5.5,0.7,,,75.9,30.2,69.8,66.9,63.1,16.2,14.2,,46.0,69.9,13.3,54.0,69.7,14.9,,99.1,23.5,69.1,,1.4,,5.1,0.9,24.2,69.7,0.2,1.5,0.1,5.5,,27.7,72.3,2.1,68.4,,1.2,
0,77049,60,,9.2,8.9,8.6,9.0,7.8,14.8,15.9,11.3,4.7,3.7,3.6,2.0,0.5,,,73.2,31.5,68.5,62.9,56.4,8.0,6.0,,48.6,68.4,6.2,51.4,68.6,5.9,,99.0,65.8,22.1,0.9,3.7,,6.5,1.0,66.6,22.8,1.3,3.8,,6.6,,63.5,36.5,9.8,21.7,0.7,3.7,
0,77050,15,,5.1,10.1,7.5,9.1,5.8,10.8,15.2,14.0,7.2,4.2,7.3,3.6,,,,77.3,28.4,71.6,67.1,62.4,13.4,10.9,,48.1,68.7,9.6,51.9,74.4,12.1,,100.0,53.3,38.2,2.1,,,6.4,,53.3,38.2,2.1,,,6.4,,58.6,41.4,3.3,38.2,,,
0,77051,79,,7.5,7.8,5.0,7.6,9.4,14.3,10.6,11.6,4.9,7.2,7.1,4.9,2.2,,,79.7,25.0,75.0,69.7,62.7,17.9,14.1,,45.3,72.3,10.5,54.7,77.2,17.1,,98.6,14.5,79.4,0.2,1.0,,3.6,1.4,15.1,80.8,0.7,1.1,,3.8,,15.7,84.3,2.4,79.4,0.1,1.0,
0,77053,95,,7.5,9.4,7.6,8.0,8.1,14.3,13.4,12.1,6.1,5.0,5.7,2.1,0.7,,,75.4,29.9,70.1,65.6,59.3,11.1,8.5,,50.2,68.5,6.3,49.8,71.8,10.7,,97.7,43.2,42.3,0.1,0.9,,11.2,2.3,44.6,43.5,1.0,1.2,,12.1,,53.7,46.3,3.0,42.0,,0.9,
