,zipcode,covid_cases,D1. AGE.Total population,D1. AGE.Under 5 years,D1. AGE.5 to 9 years,D1. AGE.10 to 14 years,D1. AGE.15 to 19 years,D1. AGE.20 to 24 years,D1. AGE.25 to 34 years,D1. AGE.35 to 44 years,D1. AGE.45 to 54 years,D1. AGE.55 to 59 years,D1. AGE.60 to 64 years,D1. AGE.65 to 74 years,D1. AGE.75 to 84 years,D1. AGE.85 years and over,D1. AGE.Median age in years,D1. AGE.5 years and over,D1. AGE.15 years and over,D1. AGE.Under 18 years of age,D1. AGE.18 years and over,D1. AGE.21 years and over,D1. AGE.25 years and over,D1. AGE.62 years and over,D1. AGE.65 years and over,D2. AGE AND SEX.Total population,D2. AGE AND SEX.Male,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D2. AGE AND SEX.Female,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D3. RACE.Total population,D3. RACE.One race,D3. RACE.White alone,D3. RACE.Black or African American,D3. RACE.American Indian and Alaska Native,D3. RACE.Asian,D3. RACE.Native Hawaiian and Other Pacific Islander,D3. RACE.Some other race,D3. RACE.Two or more races,D3. RACE.White (alone or in combination),D3. RACE.Black (alone or in combination),D3. RACE.American Indian (alone or in combination),D3. RACE.Asian (alone or in combination),D3. RACE.Native Hawaiian (alone or in combination),D3. RACE.Some other race (alone or in combination),D4. HISPANIC OR LATINO (ANY RACE).Total population,D4. HISPANIC OR LATINO (ANY RACE).Hispanic or Latino of any race,D4. HISPANIC OR LATINO (ANY RACE).Not Hispanic or Latino,D4. HISPANIC OR LATINO (ANY RACE).White alone,D4. HISPANIC OR LATINO (ANY RACE).Black or African American alone,D4. HISPANIC OR LATINO (ANY RACE).American Indian and Alaska Native alone,D4. HISPANIC OR LATINO (ANY RACE).Asian alone,D4. HISPANIC OR LATINO (ANY RACE).Native Hawaiian and Other Pacific Islander alone
0,60624,751.0,,9.1,8.7,8.0,7.4,8.1,13.6,13.0,11.4,5.6,4.2,5.8,3.8,1.3,,,74.3,30.5,69.5,65.0,58.7,12.8,10.8,,46.8,66.8,8.0,53.2,71.9,13.3,,98.9,3.7,90.8,,0.3,0.1,3.9,1.1,4.3,91.9,0.5,0.4,0.2,4.1,,5.3,94.7,2.7,90.4,,0.3,0.1
0,60637,554.0,,6.7,6.5,6.8,11.5,9.7,14.7,11.0,10.2,5.8,5.6,6.7,3.2,1.6,,,80.0,24.3,75.7,65.6,58.9,14.7,11.5,,44.0,71.4,10.5,56.0,79.0,12.3,,98.1,16.2,76.2,0.5,4.5,,0.7,1.9,17.7,77.4,1.0,4.9,,1.0,,2.8,97.2,14.5,75.8,0.4,4.5,
0,60613,341.0,,5.1,2.8,2.5,1.6,11.7,31.7,16.5,10.8,4.8,3.7,4.9,2.7,1.3,,,89.6,11.6,88.4,87.3,76.4,11.0,8.8,,50.3,88.7,7.4,49.7,88.1,10.3,,96.5,81.9,5.8,0.4,6.6,,1.8,3.5,85.2,6.5,1.2,8.3,0.1,2.4,,11.3,88.7,73.0,5.7,0.4,6.6,
0,60602,11.0,,4.9,3.5,3.5,1.4,7.3,46.9,23.7,8.0,,0.4,0.4,,,,,88.1,12.0,88.0,85.4,79.3,0.4,0.4,,55.7,86.7,0.7,44.3,89.7,,,96.7,68.2,3.8,5.3,19.5,,,3.3,71.5,5.4,5.3,21.1,,,,6.5,93.5,63.3,3.8,5.2,19.5,
0,60707,179.0,,5.3,6.9,5.5,6.0,6.8,13.2,13.6,13.9,6.9,6.2,8.9,4.9,1.9,,,82.3,21.6,78.4,74.6,69.5,19.2,15.7,,48.2,76.5,14.0,51.8,80.2,17.2,,96.9,72.6,8.0,0.5,3.9,,11.9,3.1,75.1,8.9,1.3,4.9,,13.3,,38.4,61.6,48.1,7.8,0.3,3.9,
0,60607,408.0,,5.6,3.3,1.4,7.9,15.5,30.5,16.5,7.6,3.8,2.4,3.2,1.7,0.5,,,89.7,11.3,88.7,77.8,66.2,6.8,5.4,,49.8,90.0,5.5,50.2,87.3,5.3,,96.9,58.2,14.5,0.1,22.6,0.1,1.4,3.1,60.9,15.8,0.8,23.8,0.2,2.0,,8.3,91.7,52.2,14.4,,22.5,
0,60621,488.0,,8.6,7.8,6.3,6.5,7.8,14.4,10.0,11.9,6.6,6.4,7.2,4.2,2.0,,,77.3,26.9,73.1,69.5,63.0,16.8,13.5,,45.4,71.1,11.7,54.6,74.8,15.0,,99.6,2.6,94.8,0.3,0.3,,1.7,0.4,2.8,95.2,0.5,0.3,,1.8,,3.7,96.3,1.1,94.3,0.1,0.3,
0,60630,692.0,,6.2,5.8,6.1,4.5,5.0,14.1,14.3,14.0,8.3,6.5,8.2,4.6,2.4,,,81.9,20.8,79.2,76.8,72.5,19.2,15.2,,48.6,78.4,12.5,51.4,80.0,17.8,,94.8,71.5,1.6,0.3,11.4,,10.0,5.2,75.9,3.4,1.0,13.3,0.1,11.5,,27.9,72.1,56.1,1.4,0.2,11.2,
0,60611,123.0,,2.8,0.7,1.2,1.4,7.5,28.9,11.9,8.3,7.5,7.8,13.0,6.4,2.4,,,95.3,5.1,94.9,93.1,86.3,26.9,21.8,,46.9,94.1,21.5,53.1,95.7,22.1,,97.6,74.9,2.8,0.2,17.9,,1.8,2.4,77.3,3.5,0.5,19.2,0.1,2.0,,5.2,94.8,71.4,2.8,0.2,17.7,
0,60646,335.0,,6.4,6.0,5.9,4.9,4.0,12.8,12.1,16.1,5.8,5.5,10.1,7.1,3.3,,,81.7,21.4,78.6,75.9,72.8,23.3,20.5,,47.2,78.3,16.7,52.8,78.8,23.9,,97.7,83.3,1.1,,10.4,,2.9,2.3,85.1,1.6,0.3,11.9,0.1,3.4,,14.2,85.8,72.6,1.1,,10.3,
0,60616,386.0,,4.5,3.8,4.3,5.0,7.3,22.6,12.9,12.4,5.7,5.5,8.9,4.8,2.3,,,87.3,15.1,84.9,81.3,75.1,19.2,15.9,,47.4,83.2,13.6,52.6,86.5,18.0,,97.9,28.8,25.0,0.4,40.5,,3.2,2.1,30.5,26.2,0.6,41.4,0.1,3.6,,8.4,91.6,24.2,24.8,,40.4,
0,60660,362.0,,4.4,3.2,2.4,5.7,7.6,23.6,14.6,13.4,5.8,6.0,8.4,3.2,1.7,,,90.0,11.7,88.3,82.5,76.7,17.2,13.3,,49.8,86.8,10.8,50.2,89.9,15.8,,96.8,65.5,14.4,0.3,13.0,,3.6,3.2,68.3,15.4,0.8,14.4,0.2,4.2,,17.9,82.1,51.6,14.2,0.2,12.9,
0,60601,67.0,,3.7,1.1,,6.2,6.2,33.1,13.9,13.5,2.2,5.9,7.2,5.9,1.0,,,95.2,5.6,94.4,88.0,82.8,17.0,14.1,,49.0,96.1,10.1,51.0,92.8,18.1,,98.3,74.2,5.6,0.4,18.0,,0.1,1.7,75.9,5.6,0.5,19.6,,0.1,,8.7,91.3,65.9,5.2,0.4,18.0,
0,60609,1517.0,,7.8,7.8,7.3,6.9,8.3,16.2,12.9,12.3,4.9,4.3,7.4,3.2,0.7,,,77.1,27.0,73.0,68.7,61.8,13.5,11.3,,49.2,73.0,10.5,50.8,73.0,12.1,,97.7,44.7,24.7,0.8,6.3,,21.1,2.3,46.8,25.4,1.7,6.8,,21.9,,53.4,46.6,14.9,24.3,,6.3,
