,zipcode,D1. AGE.Total population,D1. AGE.Under 5 years,D1. AGE.5 to 9 years,D1. AGE.10 to 14 years,D1. AGE.15 to 19 years,D1. AGE.20 to 24 years,D1. AGE.25 to 34 years,D1. AGE.35 to 44 years,D1. AGE.45 to 54 years,D1. AGE.55 to 59 years,D1. AGE.60 to 64 years,D1. AGE.65 to 74 years,D1. AGE.75 to 84 years,D1. AGE.85 years and over,D1. AGE.Median age in years,D1. AGE.5 years and over,D1. AGE.15 years and over,D1. AGE.Under 18 years of age,D1. AGE.18 years and over,D1. AGE.21 years and over,D1. AGE.25 years and over,D1. AGE.62 years and over,D1. AGE.65 years and over,D2. AGE AND SEX.Total population,D2. AGE AND SEX.Male,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D2. AGE AND SEX.Female,D2. AGE AND SEX.18 years old and over,D2. AGE AND SEX.65 years old and over,D3. RACE.Total population,D3. RACE.One race,D3. RACE.White alone,D3. RACE.Black or African American,D3. RACE.American Indian and Alaska Native,D3. RACE.Asian,D3. RACE.Native Hawaiian and Other Pacific Islander,D3. RACE.Some other race,D3. RACE.Two or more races,D3. RACE.White (alone or in combination),D3. RACE.Black (alone or in combination),D3. RACE.American Indian (alone or in combination),D3. RACE.Asian (alone or in combination),D3. RACE.Native Hawaiian (alone or in combination),D3. RACE.Some other race (alone or in combination),D4. HISPANIC OR LATINO (ANY RACE).Total population,D4. HISPANIC OR LATINO (ANY RACE).Hispanic or Latino of any race,D4. HISPANIC OR LATINO (ANY RACE).Not Hispanic or Latino,D4. HISPANIC OR LATINO (ANY RACE).White alone,D4. HISPANIC OR LATINO (ANY RACE).Black or African American alone,D4. HISPANIC OR LATINO (ANY RACE).American Indian and Alaska Native alone,D4. HISPANIC OR LATINO (ANY RACE).Asian alone,D4. HISPANIC OR LATINO (ANY RACE).Native Hawaiian and Other Pacific Islander alone
0,60056,,8.2,6.8,5.3,5.5,4.4,12.5,14.8,14.0,6.3,5.3,8.9,5.4,2.5,,,79.7,24.0,76.0,73.5,69.8,19.8,16.8,,50.2,74.3,15.7,49.8,77.7,18.0,,97.6,75.7,2.8,0.5,12.3,,6.3,2.4,77.8,3.2,1.2,13.5,0.1,7.0,,16.9,83.1,66.2,2.6,0.3,12.3,
0,60060,,6.9,5.8,6.0,7.1,5.6,15.5,13.2,13.4,7.0,7.0,7.8,3.6,1.2,,,81.3,23.0,77.0,73.2,68.6,17.0,12.5,,51.0,76.0,11.2,49.0,78.1,13.9,,97.3,78.7,1.7,0.3,10.2,0.1,6.3,2.7,80.8,2.0,0.4,11.9,0.1,7.4,,32.0,68.0,53.8,1.7,0.2,10.1,0.1
0,60061,,6.1,7.0,8.1,7.3,4.2,12.1,14.8,15.4,6.4,5.4,7.9,3.0,2.2,,,78.8,26.3,73.7,71.0,67.3,16.2,13.1,,49.3,70.9,11.4,50.7,76.5,14.9,,96.6,67.2,3.2,0.2,23.0,,3.1,3.4,70.4,4.4,0.7,24.7,0.2,3.4,,12.1,87.9,59.1,3.1,0.2,22.8,
0,60062,,5.2,6.1,6.2,5.4,2.9,7.0,10.9,14.7,7.5,7.0,11.4,10.2,5.5,,,82.6,21.6,78.4,76.8,74.3,30.7,27.1,,47.0,78.2,25.2,53.0,78.5,28.7,,98.6,81.4,2.0,0.1,14.6,,0.6,1.4,82.6,2.1,0.3,15.6,0.1,0.7,,3.1,96.9,79.0,1.9,0.1,14.6,
0,60064,,7.2,7.0,7.6,7.6,10.8,14.4,11.4,13.8,5.9,3.8,6.4,3.1,1.1,,,78.2,26.6,73.4,69.3,59.9,12.9,10.5,,49.6,73.5,9.3,50.4,73.3,11.7,,94.4,37.0,36.0,0.1,2.1,,19.1,5.6,42.0,39.3,0.4,4.4,0.1,20.3,,49.4,50.6,8.8,35.6,0.1,2.1,
0,60067,,5.3,5.5,6.3,6.7,3.1,12.2,11.6,17.4,7.8,7.3,9.3,5.5,2.1,,,83.0,21.8,78.2,75.8,73.2,20.7,16.9,,47.5,79.1,15.6,52.5,77.4,18.0,,96.7,77.1,1.7,0.1,14.8,,3.0,3.3,80.0,2.4,0.7,16.6,0.2,4.1,,7.5,92.5,73.8,1.7,,14.8,
0,60068,,6.3,6.6,7.6,6.4,4.2,7.8,12.2,15.5,7.4,6.8,9.7,6.2,3.3,,,79.5,25.2,74.8,72.1,68.9,23.2,19.1,,48.7,72.7,17.0,51.3,76.8,21.1,,97.9,91.9,0.4,,4.4,0.3,0.8,2.1,94.0,0.8,,6.0,0.3,1.1,,6.0,94.0,86.8,0.4,,4.4,0.3
0,60069,,2.2,4.1,6.7,6.8,4.7,5.5,9.0,13.0,8.3,6.3,11.6,10.5,11.2,,,87.0,17.9,82.1,79.5,75.4,36.9,33.4,,47.6,78.8,28.7,52.4,85.1,37.7,,98.2,86.6,1.2,,10.3,,0.2,1.8,88.2,1.2,0.1,11.9,,0.5,,2.9,97.1,83.9,1.2,,10.3,
0,60070,,7.6,6.4,7.0,6.1,3.2,15.8,11.3,11.9,7.3,6.8,9.0,4.7,2.9,,,79.1,24.3,75.7,72.3,69.7,20.5,16.6,,51.7,72.3,13.5,48.3,79.3,19.9,,99.0,68.9,2.1,,8.5,,19.5,1.0,69.6,2.1,,9.0,0.1,20.2,,32.1,67.9,56.9,2.1,,8.5,
0,60071,,3.8,6.4,8.0,6.8,8.6,8.1,13.6,15.3,7.2,8.2,8.5,4.4,1.2,,,81.8,23.3,76.7,72.3,66.3,18.6,14.0,,48.8,74.8,14.4,51.2,78.5,13.6,,96.4,91.5,1.5,0.9,2.0,0.2,0.4,3.6,95.1,2.4,3.8,2.2,0.2,0.4,,8.7,91.3,83.4,1.5,0.9,2.0,
